USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,31223,0.0,0.0,166944,3504,?,Sl,Feb20,0:00,/usr/libexec/gdm-simple-slave,--display-id,/org/gnome/DisplayManager/Display4
root,31227,0.0,0.4,152784,35660,tty7,Ss+,Feb20,0:49,/usr/bin/Xorg,:3,-br,-verbose,-audit,4,-auth,/var/run/gdm/auth-for-gdm-Zuawnj/database,-nolisten,tcp
gdm,31247,0.0,0.0,20040,652,?,S,Feb20,0:00,/usr/bin/dbus-launch,--exit-with-session
gdm,31248,0.0,0.0,33900,1284,?,Ssl,Feb20,0:00,/bin/dbus-daemon,--fork,--print-pid,5,--print-address,7,--session
gdm,31250,0.0,0.0,269156,7848,?,Ssl,Feb20,0:00,/usr/bin/gnome-session,--autostart=/usr/share/gdm/autostart/LoginWindow/
gdm,31253,0.0,0.0,133536,5504,?,S,Feb20,0:02,/usr/libexec/gconfd-2
gdm,31254,0.0,0.0,120712,4424,?,S,Feb20,0:04,/usr/libexec/at-spi-registryd
gdm,31258,0.0,0.2,367932,19412,?,Ssl,Feb20,9:12,/usr/libexec/gnome-settings-daemon,--gconf-prefix=/apps/gdm/simple-greeter/settings-manager-plugins
gdm,31260,0.0,0.0,434252,3008,?,Ssl,Feb20,0:00,/usr/libexec/bonobo-activation-server,--ac-activate,--ior-output-fd=12
gdm,31268,0.0,0.0,135284,1868,?,S,Feb20,0:00,/usr/libexec/gvfsd
gdm,31269,0.0,0.1,299508,9944,?,S,Feb20,0:05,metacity
gdm,31270,0.0,0.2,403252,17500,?,S,Feb20,0:36,/usr/libexec/gdm-simple-greeter
gdm,31272,0.0,0.1,300208,12524,?,S,Feb20,0:00,plymouth-log-viewer,--icon
