Year MO DY HR MN BOUH
2013 04 02 09 12 20817.25
2013 04 02 09 13 20817.29
2013 04 02 09 14 20817.35
2013 04 02 09 15 20817.38
2013 04 02 09 16 20817.28
2013 04 02 09 17 20817.20
2013 04 02 09 18 20817.19
2013 04 02 09 19 20817.07
2013 04 02 09 20 20817.00
2013 04 02 09 21 20817.06
2013 04 02 09 22 20817.13
2013 04 02 09 23 20817.21
2013 04 02 09 24 20817.23
2013 04 02 09 25 20817.19
2013 04 02 09 26 20817.07
2013 04 02 09 27 20817.04
2013 04 02 09 28 20817.01
2013 04 02 09 29 20816.98
2013 04 02 09 30 20817.02
2013 04 02 09 31 20817.08
2013 04 02 09 32 20817.12
2013 04 02 09 33 20817.09
2013 04 02 09 34 20817.06
2013 04 02 09 35 20817.09
2013 04 02 09 36 20817.11
2013 04 02 09 37 20817.11
2013 04 02 09 38 20817.14
2013 04 02 09 39 20817.22
2013 04 02 09 40 20817.23
2013 04 02 09 41 20817.23
2013 04 02 09 42 20817.27
2013 04 02 09 43 20817.35
2013 04 02 09 44 20817.35
2013 04 02 09 45 20817.33
2013 04 02 09 46 20817.37
2013 04 02 09 47 20817.46
2013 04 02 09 48 20817.44
2013 04 02 09 49 20817.49
2013 04 02 09 50 20817.48
2013 04 02 09 51 20817.54
2013 04 02 09 52 20817.61
2013 04 02 09 53 20817.66
2013 04 02 09 54 20817.71
2013 04 02 09 55 20817.75
2013 04 02 09 56 20817.79
2013 04 02 09 57 20817.90
2013 04 02 09 58 20817.96
2013 04 02 09 59 20818.08
2013 04 02 10 00 20818.07
2013 04 02 10 01 20818.10
2013 04 02 10 02 20818.11
2013 04 02 10 03 20818.17
2013 04 02 10 04 20818.19
2013 04 02 10 05 20818.26
2013 04 02 10 06 20818.26
2013 04 02 10 07 20818.26
2013 04 02 10 08 20818.26
2013 04 02 10 09 20818.30
2013 04 02 10 10 20818.31
2013 04 02 10 11 20818.34
2013 04 02 10 12 20818.38
2013 04 02 10 13 20818.49
2013 04 02 10 14 20818.58
2013 04 02 10 15 20818.49
2013 04 02 10 16 20818.47
2013 04 02 10 17 20818.59
2013 04 02 10 18 20818.55
2013 04 02 10 19 20818.50
2013 04 02 10 20 20818.57
2013 04 02 10 21 20818.53
2013 04 02 10 22 20818.49
2013 04 02 10 23 20818.54
2013 04 02 10 24 20818.52
2013 04 02 10 25 20818.43
2013 04 02 10 26 20818.46
2013 04 02 10 27 20818.39
2013 04 02 10 28 20818.30
2013 04 02 10 29 20818.29
2013 04 02 10 30 20818.34
2013 04 02 10 31 20818.39
2013 04 02 10 32 20818.38
2013 04 02 10 33 20818.19
2013 04 02 10 34 20818.33
2013 04 02 10 35 20818.25
2013 04 02 10 36 20818.18
2013 04 02 10 37 20818.09
2013 04 02 10 38 20818.08
2013 04 02 10 39 20818.02
2013 04 02 10 40 20818.01
2013 04 02 10 41 20818.03
2013 04 02 10 42 20818.20
2013 04 02 10 43 20818.16
2013 04 02 10 44 20818.01
2013 04 02 10 45 20818.14
2013 04 02 10 46 20818.17
2013 04 02 10 47 20818.18
2013 04 02 10 48 20818.15
2013 04 02 10 49 20818.10
2013 04 02 10 50 20818.04
2013 04 02 10 51 20817.95
2013 04 02 10 52 20817.97
2013 04 02 10 53 20817.96
2013 04 02 10 54 20817.98
2013 04 02 10 55 20817.87
2013 04 02 10 56 20817.86
2013 04 02 10 57 20817.90
2013 04 02 10 58 20817.86
2013 04 02 10 59 20817.81
2013 04 02 11 00 20817.72
2013 04 02 11 01 20817.66
2013 04 02 11 02 20817.72
2013 04 02 11 03 20817.81
2013 04 02 11 04 20817.80
2013 04 02 11 05 20817.76
2013 04 02 11 06 20817.80
2013 04 02 11 07 20817.77
2013 04 02 11 08 20817.73
2013 04 02 11 09 20817.66
2013 04 02 11 10 20817.64
2013 04 02 11 11 20817.64
2013 04 02 11 12 20817.69
2013 04 02 11 13 20817.54
2013 04 02 11 14 20817.57
2013 04 02 11 15 20817.51
2013 04 02 11 16 20817.56
2013 04 02 11 17 20817.53
2013 04 02 11 18 20817.50
2013 04 02 11 19 20817.73
2013 04 02 11 20 20817.87
2013 04 02 11 21 20817.81
2013 04 02 11 22 20817.90
2013 04 02 11 23 20817.96
2013 04 02 11 24 20817.98
2013 04 02 11 25 20818.03
2013 04 02 11 26 20818.13
2013 04 02 11 27 20818.16
2013 04 02 11 28 20818.18
2013 04 02 11 29 20818.22
2013 04 02 11 30 20818.09
2013 04 02 11 31 20818.12
2013 04 02 11 32 20818.28
2013 04 02 11 33 20818.22
2013 04 02 11 34 20818.31
2013 04 02 11 35 20818.30
2013 04 02 11 36 20818.36
2013 04 02 11 37 20818.38
2013 04 02 11 38 20818.38
2013 04 02 11 39 20818.33
2013 04 02 11 40 20818.39
2013 04 02 11 41 20818.38
2013 04 02 11 42 20818.47
2013 04 02 11 43 20818.38
2013 04 02 11 44 20818.45
2013 04 02 11 45 20818.56
2013 04 02 11 46 20818.69
2013 04 02 11 47 20818.63
2013 04 02 11 48 20818.60
2013 04 02 11 49 20818.54
2013 04 02 11 50 20818.40
2013 04 02 11 51 20818.52
2013 04 02 11 52 20818.49
2013 04 02 11 53 20818.36
2013 04 02 11 54 20818.39
2013 04 02 11 55 20818.31
2013 04 02 11 56 20818.29
2013 04 02 11 57 20818.27
2013 04 02 11 58 20818.22
2013 04 02 11 59 20818.39
2013 04 02 12 00 20818.07
2013 04 02 12 01 20817.79
2013 04 02 12 02 20818.06
2013 04 02 12 03 20818.02
2013 04 02 12 04 20818.09
2013 04 02 12 05 20818.10
2013 04 02 12 06 20817.91
2013 04 02 12 07 20818.06
2013 04 02 12 08 20817.91
2013 04 02 12 09 20817.88
2013 04 02 12 10 20817.74
2013 04 02 12 11 20817.78
2013 04 02 12 12 20818.25
2013 04 02 12 13 20818.31
2013 04 02 12 14 20818.54
2013 04 02 12 15 20818.75
2013 04 02 12 16 20818.57
2013 04 02 12 17 20818.74
2013 04 02 12 18 20819.06
2013 04 02 12 19 20819.07
2013 04 02 12 20 20819.19
2013 04 02 12 21 20819.35
2013 04 02 12 22 20819.54
2013 04 02 12 23 20819.61
2013 04 02 12 24 20819.63
2013 04 02 12 25 20819.76
2013 04 02 12 26 20819.83
2013 04 02 12 27 20819.74
2013 04 02 12 28 20819.73
2013 04 02 12 29 20819.74
2013 04 02 12 30 20819.68
2013 04 02 12 31 20819.67
2013 04 02 12 32 20819.65
2013 04 02 12 33 20819.63
2013 04 02 12 34 20819.51
2013 04 02 12 35 20819.48
2013 04 02 12 36 20819.46
2013 04 02 12 37 20819.35
2013 04 02 12 38 20819.25
2013 04 02 12 39 20819.21
2013 04 02 12 40 20819.15
2013 04 02 12 41 20819.15
